initial load;;0;0;0;0;0;;;;;
encoder increments;;50;100;150;200;250;;;;;
position [mm];Applied Torque [Nm];motor load [%];motor load [%];motor load [%];motor load [%];motor load [%];Motor Torque [Nm];Motor Torque [Nm];Motor Torque [Nm];Motor Torque [Nm];Motor Torque [Nm]
20;0,11583648;8,40;9,00;6,20;6,20;11,2;0,101944751;0,109226519;0,075244936;0,075244936;0,135926335
30;0,14157792;16,30;11,80;10,70;10,70;12,90;0,197821363;0,143208103;0,129858195;0,129858195;0,156558011
40;0,16731936;20,30;16,90;16,90;18,60;18,60;0,246366483;0,205103131;0,205103131;0,225734807;0,225734807
50;0,1930608;26,50;24,20;23,70;17,50;20,30;0,321611418;0,293697974;0,287629834;0,212384899;0,246366483
60;0,21880224;28,70;25,40;23,30;23,10;25,90;0,348311234;0,30826151;0,282775322;0,280348066;0,31432965
70;0,24454368;28,70;28,20;25,90;25,90;25,30;0,348311234;0,342243094;0,31432965;0,31432965;0,307047882
80;0,27028512;35,00;40,00;37,2;-;33,80;0,424769797;0,485451197;0,451469613;-;0,410206262
